Datum;Uhrzeit;Fahrradbruecke;Fahrradbruecke stadteinwaerts;Fahrradbruecke stadtauswaerts;Symbol Wetter;Temperatur (°C);Gefühlte Temperatur (°C);Regen (mm)
01/01/2019;00:00;61;25;36;Leicht bewölkt;2;2;0
01/01/2019;01:00;100;49;51;Leicht bewölkt;2;2;0
01/01/2019;02:00;143;73;70;Leicht bewölkt;2;2;0
01/01/2019;03:00;98;59;39;Leicht bewölkt;3;3;0
01/01/2019;04:00;68;34;34;Leicht bewölkt;3;2;0
01/01/2019;05:00;38;20;18;Leicht bewölkt;3;2;0
01/01/2019;06:00;26;11;15;Leicht bewölkt;3;2;0
01/01/2019;07:00;18;8;10;Leicht bewölkt;3;2;0
01/01/2019;08:00;26;13;13;Leicht bewölkt;3;2;0
01/01/2019;09:00;25;16;9;Leicht bewölkt;3;2;0
01/01/2019;10:00;47;23;24;Leicht bewölkt;4;2;0
01/01/2019;11:00;40;23;17;Leicht bewölkt;4;3;0
01/01/2019;12:00;88;49;39;Leicht bewölkt;5;3;0
01/01/2019;13:00;84;40;44;Leicht bewölkt;5;3;0
01/01/2019;14:00;81;39;42;Leicht bewölkt;5;3;0
01/01/2019;15:00;118;56;62;Leicht bewölkt;5;3;0
01/01/2019;16:00;110;56;54;Leicht bewölkt;5;3;0
01/01/2019;17:00;108;47;61;Leicht bewölkt;5;2;0
01/01/2019;18:00;72;32;40;Leicht bewölkt;4;1;0
01/01/2019;19:00;47;19;28;Leicht bewölkt;3;1;0
01/01/2019;20:00;56;40;16;Leicht bewölkt;2;1;0
01/01/2019;21:00;32;10;22;Leicht bewölkt;2;0;0
01/01/2019;22:00;40;16;24;Leicht bewölkt;2;0;0
01/01/2019;23:00;35;17;18;Stellenweiser Nieselregen;3;0;0
02/01/2019;00:00;12;3;9;Stellenweiser Nieselregen;3;0;0
02/01/2019;01:00;5;5;0;Stellenweiser Nieselregen;3;0;0
02/01/2019;02:00;2;0;2;Bedeckt;4;0;0
02/01/2019;03:00;0;0;0;Bedeckt;4;0;0
02/01/2019;04:00;3;3;0;Bedeckt;3;-1;0
02/01/2019;05:00;20;8;12;Leichter Eisregen;3;-2;0
02/01/2019;06:00;69;36;33;Leichter Eisregen;2;-2;0
02/01/2019;07:00;126;66;60;Leichter Eisregen;2;-3;0
02/01/2019;08:00;181;106;75;Stellenweise starker Schneefall;2;-3;0
02/01/2019;09:00;220;145;75;Stellenweise starker Schneefall;1;-3;0
02/01/2019;10:00;231;141;90;Stellenweise starker Schneefall;2;-3;0
02/01/2019;11:00;221;125;96;Mäßige bis starke Schneefälle;2;-3;0
02/01/2019;12:00;269;135;134;Mäßige bis starke Schneefälle;2;-2;0
02/01/2019;13:00;263;125;138;Mäßige bis starke Schneefälle;2;-2;0
02/01/2019;14:00;265;141;124;Mäßige bis starke Schneefälle;2;-2;0
02/01/2019;15:00;287;128;159;Mäßige bis starke Schneefälle;3;-2;0
02/01/2019;16:00;320;144;176;Mäßige bis starke Schneefälle;2;-3;0
02/01/2019;17:00;268;118;150;Mäßige bis starke Schneefälle;1;-3;1
02/01/2019;18:00;220;100;120;Mäßige bis starke Schneefälle;0;-4;1
02/01/2019;19:00;169;62;107;Mäßige bis starke Schneefälle;0;-4;0
02/01/2019;20:00;117;56;61;Mäßige bis starke Schneefälle;-1;-3;0
02/01/2019;21:00;76;37;39;Mäßige bis starke Schneefälle;-1;-3;0
02/01/2019;22:00;87;37;50;Mäßige bis starke Schneefälle;-2;-3;0
02/01/2019;23:00;38;12;26;Leichte Schneeschauer;-2;-3;0
03/01/2019;00:00;24;10;14;Leichte Schneeschauer;-2;-4;0
03/01/2019;01:00;17;5;12;Leichte Schneeschauer;-2;-3;0
03/01/2019;02:00;4;2;2;Leicht bewölkt;-2;-3;0
03/01/2019;03:00;7;2;5;Leicht bewölkt;-1;-3;0
03/01/2019;04:00;10;7;3;Leicht bewölkt;-1;-3;0
03/01/2019;05:00;32;17;15;Stellenweiser Schneefall;-1;-2;0
03/01/2019;06:00;73;42;31;Stellenweiser Schneefall;-1;-2;0
03/01/2019;07:00;133;63;70;Stellenweiser Schneefall;-1;-2;0
03/01/2019;08:00;202;109;93;Stellenweise leichter Schneefall;-1;-1;0
03/01/2019;09:00;201;126;75;Stellenweise leichter Schneefall;-1;-1;0
03/01/2019;10:00;196;109;87;Stellenweise leichter Schneefall;0;0;0
03/01/2019;11:00;198;111;87;Stellenweise leichter Schneefall;1;1;0
03/01/2019;12:00;277;133;144;Stellenweise leichter Schneefall;1;1;0
03/01/2019;13:00;247;125;122;Stellenweise leichter Schneefall;1;1;0
03/01/2019;14:00;290;152;138;Stellenweise leichter Schneefall;1;1;0
03/01/2019;15:00;287;151;136;Stellenweise leichter Schneefall;1;1;0
03/01/2019;16:00;363;173;190;Stellenweise leichter Schneefall;1;1;0
03/01/2019;17:00;290;132;158;Bewölkt;1;0;0
03/01/2019;18:00;279;109;170;Bewölkt;1;-1;0
03/01/2019;19:00;219;95;124;Bewölkt;0;-1;0
03/01/2019;20:00;133;50;83;Bedeckt;0;-2;0
03/01/2019;21:00;80;36;44;Bedeckt;0;-2;0
03/01/2019;22:00;84;28;56;Bedeckt;0;-2;0
03/01/2019;23:00;55;21;34;Starker Schneefall;0;-2;0
04/01/2019;00:00;19;10;9;Starker Schneefall;0;-2;0
04/01/2019;01:00;15;3;12;Starker Schneefall;0;-2;0
04/01/2019;02:00;12;7;5;Starker Schneefall;-1;-2;0
04/01/2019;03:00;7;4;3;Starker Schneefall;-1;-2;0
04/01/2019;04:00;7;6;1;Starker Schneefall;-1;-2;0
04/01/2019;05:00;17;7;10;Leichter Schneefall;-1;-2;0
04/01/2019;06:00;51;28;23;Leichter Schneefall;-2;-2;0
04/01/2019;07:00;127;66;61;Leichter Schneefall;-1;-2;0
04/01/2019;08:00;190;113;77;Bewölkt;-1;-1;0
04/01/2019;09:00;186;115;71;Bewölkt;-1;-1;0
04/01/2019;10:00;203;120;83;Bewölkt;0;0;0
04/01/2019;11:00;232;123;109;Leicht bewölkt;1;1;0
04/01/2019;12:00;277;118;159;Leicht bewölkt;2;2;0
04/01/2019;13:00;257;120;137;Leicht bewölkt;2;1;0
04/01/2019;14:00;307;151;156;Bewölkt;2;1;0
04/01/2019;15:00;267;139;128;Bewölkt;2;1;0
04/01/2019;16:00;301;150;151;Bewölkt;2;0;0
04/01/2019;17:00;295;129;166;Bedeckt;1;0;0
04/01/2019;18:00;272;127;145;Bedeckt;1;0;0
04/01/2019;19:00;216;103;113;Bedeckt;1;-1;0
04/01/2019;20:00;141;75;66;Bewölkt;1;-2;0
04/01/2019;21:00;85;44;41;Bewölkt;1;-2;0
04/01/2019;22:00;64;30;34;Bewölkt;1;-2;0
04/01/2019;23:00;75;25;50;Starker Schneefall;1;-3;0
05/01/2019;00:00;59;32;27;Starker Schneefall;1;-3;0
05/01/2019;01:00;32;12;20;Starker Schneefall;1;-3;0
05/01/2019;02:00;22;7;15;Bedeckt;1;-3;0
05/01/2019;03:00;7;1;6;Bedeckt;1;-3;0
05/01/2019;04:00;17;7;10;Bedeckt;1;-3;0
05/01/2019;05:00;23;15;8;Stellenweise mäßiger Schneefall;1;-3;0
05/01/2019;06:00;18;9;9;Stellenweise mäßiger Schneefall;1;-3;0
05/01/2019;07:00;29;18;11;Stellenweise mäßiger Schneefall;1;-3;0
05/01/2019;08:00;66;38;28;Bedeckt;1;-3;0
05/01/2019;09:00;107;71;36;Bedeckt;1;-4;0
05/01/2019;10:00;114;71;43;Bedeckt;1;-4;0
05/01/2019;11:00;104;53;51;Starker Schneefall;1;-4;0
05/01/2019;12:00;131;73;58;Starker Schneefall;1;-4;0
05/01/2019;13:00;100;42;58;Starker Schneefall;1;-4;0
05/01/2019;14:00;118;53;65;Bedeckt;1;-4;1
05/01/2019;15:00;110;63;47;Bedeckt;2;-3;1
05/01/2019;16:00;102;40;62;Bedeckt;1;-3;1
05/01/2019;17:00;112;58;54;Starker Schneefall;1;-2;2
05/01/2019;18:00;131;59;72;Starker Schneefall;1;-1;2
05/01/2019;19:00;107;49;58;Starker Schneefall;0;-1;2
05/01/2019;20:00;99;33;66;Mäßiger bis starker Eisregen;-1;-2;2
05/01/2019;21:00;84;46;38;Mäßiger bis starker Eisregen;-2;-2;2
05/01/2019;22:00;69;35;34;Mäßiger bis starker Eisregen;-1;-2;2
05/01/2019;23:00;76;40;36;Mäßiger Regenfall;0;-2;2
06/01/2019;00:00;63;34;29;Mäßiger Regenfall;1;-2;2
06/01/2019;01:00;31;16;15;Mäßiger Regenfall;1;-2;2
06/01/2019;02:00;25;7;18;Starker Regenfall;2;-2;2
06/01/2019;03:00;33;7;26;Starker Regenfall;2;-2;2
06/01/2019;04:00;10;4;6;Starker Regenfall;2;-2;1
06/01/2019;05:00;12;5;7;Starker Schneefall;2;-2;1
06/01/2019;06:00;7;3;4;Starker Schneefall;2;-2;0
06/01/2019;07:00;11;5;6;Starker Schneefall;2;-2;0
06/01/2019;08:00;22;11;11;Bedeckt;2;-2;0
06/01/2019;09:00;61;32;29;Bedeckt;2;-2;1
06/01/2019;10:00;62;30;32;Bedeckt;2;-2;1
06/01/2019;11:00;88;37;51;Starker Schneefall;2;-1;1
06/01/2019;12:00;115;61;54;Starker Schneefall;2;-1;1
06/01/2019;13:00;92;52;40;Starker Schneefall;2;-1;0
06/01/2019;14:00;120;62;58;Starker Schneefall;2;-1;0
06/01/2019;15:00;142;70;72;Starker Schneefall;3;-1;0
06/01/2019;16:00;135;56;79;Starker Schneefall;2;-1;0
06/01/2019;17:00;165;70;95;Leichter Eisregen;2;0;0
06/01/2019;18:00;140;63;77;Leichter Eisregen;2;0;0
06/01/2019;19:00;132;73;59;Leichter Eisregen;2;0;0
06/01/2019;20:00;102;41;61;Leichter Eisregen;2;0;0
06/01/2019;21:00;58;31;27;Leichter Eisregen;2;0;0
06/01/2019;22:00;51;29;22;Leichter Eisregen;2;0;0
06/01/2019;23:00;36;20;16;Leichter Eisregen;2;0;0
07/01/2019;00:00;31;19;12;Leichter Eisregen;2;0;0
07/01/2019;01:00;5;5;0;Leichter Eisregen;2;0;0
07/01/2019;02:00;6;4;2;Leichter Eisregen;2;0;0
07/01/2019;03:00;5;4;1;Leichter Eisregen;2;0;0
07/01/2019;04:00;9;6;3;Leichter Eisregen;2;0;0
07/01/2019;05:00;40;31;9;Starker Schneefall;2;0;0
07/01/2019;06:00;114;73;41;Starker Schneefall;2;0;0
07/01/2019;07:00;710;439;271;Starker Schneefall;2;1;0
07/01/2019;08:00;522;289;233;Leichter Nebel;2;1;0
07/01/2019;09:00;459;310;149;Leichter Nebel;2;2;0
07/01/2019;10:00;234;125;109;Leichter Nebel;2;2;0
07/01/2019;11:00;333;146;187;Mäßiger Schneefall;3;3;0
07/01/2019;12:00;388;184;204;Mäßiger Schneefall;3;3;0
07/01/2019;13:00;576;241;335;Mäßiger Schneefall;3;3;0
07/01/2019;14:00;352;172;180;Bewölkt;3;3;0
07/01/2019;15:00;675;299;376;Bewölkt;3;3;0
07/01/2019;16:00;542;241;301;Bewölkt;3;2;0
07/01/2019;17:00;700;300;400;Bewölkt;2;2;0
07/01/2019;18:00;546;245;301;Bewölkt;2;1;0
07/01/2019;19:00;419;164;255;Bewölkt;1;0;0
07/01/2019;20:00;247;113;134;Leicht bewölkt;1;0;0
07/01/2019;21:00;164;80;84;Leicht bewölkt;1;-1;0
07/01/2019;22:00;149;52;97;Leicht bewölkt;1;-1;0
07/01/2019;23:00;61;26;35;Leicht bewölkt;1;-1;0
08/01/2019;00:00;25;14;11;Leicht bewölkt;2;-2;0
08/01/2019;01:00;15;7;8;Leicht bewölkt;2;-2;0
08/01/2019;02:00;9;5;4;Bedeckt;2;-2;0
08/01/2019;03:00;4;4;0;Bedeckt;2;-3;0
08/01/2019;04:00;8;5;3;Bedeckt;2;-3;0
08/01/2019;05:00;33;22;11;Starker Schneefall;2;-3;0
08/01/2019;06:00;110;79;31;Starker Schneefall;3;-2;0
08/01/2019;07:00;712;445;267;Starker Schneefall;3;-2;0
08/01/2019;08:00;559;317;242;Bedeckt;3;-2;0
08/01/2019;09:00;529;347;182;Bedeckt;4;-1;0
08/01/2019;10:00;269;150;119;Bedeckt;4;-1;0
08/01/2019;11:00;402;190;212;Leichter Regenfall;5;-1;0
08/01/2019;12:00;389;151;238;Leichter Regenfall;5;0;0
08/01/2019;13:00;567;215;352;Leichter Regenfall;5;0;0
08/01/2019;14:00;331;174;157;Bedeckt;5;0;0
08/01/2019;15:00;673;312;361;Bedeckt;5;0;0
08/01/2019;16:00;583;268;315;Bedeckt;5;0;0
08/01/2019;17:00;730;324;406;Leichter Regenschauer;4;-1;0
08/01/2019;18:00;531;221;310;Leichter Regenschauer;4;-1;0
08/01/2019;19:00;435;196;239;Leichter Regenschauer;4;-1;0
08/01/2019;20:00;259;106;153;Bedeckt;4;-2;0
08/01/2019;21:00;158;54;104;Bedeckt;4;-2;0
08/01/2019;22:00;163;56;107;Bedeckt;3;-2;0
08/01/2019;23:00;67;34;33;Leichter Eisregen;3;-2;0
09/01/2019;00:00;34;21;13;Leichter Eisregen;3;-2;0
09/01/2019;01:00;12;6;6;Leichter Eisregen;3;-3;0
09/01/2019;02:00;11;7;4;Mäßige bis starke Schneefälle;3;-3;0
09/01/2019;03:00;3;3;0;Mäßige bis starke Schneefälle;2;-3;0
09/01/2019;04:00;9;6;3;Mäßige bis starke Schneefälle;2;-4;1
09/01/2019;05:00;29;17;12;Schneesturm;2;-4;1
09/01/2019;06:00;109;64;45;Schneesturm;2;-4;1
09/01/2019;07:00;806;506;300;Schneesturm;2;-4;1
09/01/2019;08:00;559;322;237;Schneesturm;2;-4;1
09/01/2019;09:00;524;327;197;Schneesturm;1;-3;1
09/01/2019;10:00;276;136;140;Schneesturm;1;-3;0
09/01/2019;11:00;413;196;217;Starker Schneefall;1;-3;0
09/01/2019;12:00;402;200;202;Starker Schneefall;2;-3;0
09/01/2019;13:00;670;318;352;Starker Schneefall;1;-3;0
09/01/2019;14:00;391;194;197;Mäßige bis starke Schneefälle;1;-3;0
09/01/2019;15:00;528;226;302;Mäßige bis starke Schneefälle;1;-3;0
09/01/2019;16:00;534;244;290;Mäßige bis starke Schneefälle;1;-4;0
09/01/2019;17:00;658;268;390;Starker Schneefall;0;-4;0
09/01/2019;18:00;570;250;320;Starker Schneefall;0;-4;0
09/01/2019;19:00;447;194;253;Starker Schneefall;-1;-4;0
09/01/2019;20:00;287;142;145;Mäßige bis starke Schneefälle;-1;-4;0
09/01/2019;21:00;178;78;100;Mäßige bis starke Schneefälle;-1;-4;0
09/01/2019;22:00;209;95;114;Mäßige bis starke Schneefälle;-1;-4;0
09/01/2019;23:00;83;33;50;Starker Schneefall;-1;-4;0
10/01/2019;00:00;48;16;32;Starker Schneefall;-1;-4;0
10/01/2019;01:00;25;9;16;Starker Schneefall;-1;-4;0
10/01/2019;02:00;14;5;9;Starker Schneefall;-1;-4;0
10/01/2019;03:00;3;3;0;Starker Schneefall;-1;-4;0
10/01/2019;04:00;7;5;2;Starker Schneefall;-1;-4;0
10/01/2019;05:00;32;20;12;Starker Schneefall;-1;-4;1
10/01/2019;06:00;97;63;34;Starker Schneefall;-1;-4;1
10/01/2019;07:00;530;311;219;Starker Schneefall;-1;-4;1
10/01/2019;08:00;340;209;131;Starker Schneefall;-1;-3;1
10/01/2019;09:00;335;231;104;Starker Schneefall;-1;-3;1
10/01/2019;10:00;143;94;49;Starker Schneefall;0;-3;1
10/01/2019;11:00;218;112;106;Starker Schneefall;0;-3;1
10/01/2019;12:00;178;67;111;Starker Schneefall;0;-3;1
10/01/2019;13:00;398;163;235;Starker Schneefall;0;-3;1
10/01/2019;14:00;261;139;122;Starker Schneefall;0;-3;1
10/01/2019;15:00;421;195;226;Starker Schneefall;1;-3;1
10/01/2019;16:00;364;180;184;Starker Schneefall;0;-3;0
10/01/2019;17:00;450;204;246;Starker Schneefall;0;-4;0
10/01/2019;18:00;379;181;198;Starker Schneefall;0;-4;0
10/01/2019;19:00;303;134;169;Starker Schneefall;-1;-5;0
10/01/2019;20:00;222;94;128;Starker Schneefall;-1;-5;0
10/01/2019;21:00;150;71;79;Starker Schneefall;-2;-6;0
10/01/2019;22:00;147;47;100;Starker Schneefall;-3;-7;0
10/01/2019;23:00;77;37;40;Mäßiger Schneefall;-4;-7;0
11/01/2019;00:00;36;20;16;Mäßiger Schneefall;-4;-8;0
11/01/2019;01:00;14;7;7;Mäßiger Schneefall;-5;-8;0
11/01/2019;02:00;11;7;4;Mäßiger Schneefall;-5;-8;0
11/01/2019;03:00;2;1;1;Mäßiger Schneefall;-6;-9;0
11/01/2019;04:00;9;6;3;Mäßiger Schneefall;-6;-8;0
11/01/2019;05:00;24;18;6;Leicht bewölkt;-7;-8;0
11/01/2019;06:00;105;61;44;Leicht bewölkt;-7;-8;0
11/01/2019;07:00;576;337;239;Leicht bewölkt;-6;-7;0
11/01/2019;08:00;441;250;191;Leicht bewölkt;-5;-6;0
11/01/2019;09:00;453;293;160;Leicht bewölkt;-5;-6;0
11/01/2019;10:00;279;140;139;Leicht bewölkt;-4;-5;0
11/01/2019;11:00;330;174;156;Leicht bewölkt;-3;-5;0
11/01/2019;12:00;450;198;252;Leicht bewölkt;-2;-4;0
11/01/2019;13:00;603;258;345;Leicht bewölkt;-2;-4;0
11/01/2019;14:00;401;211;190;Bedeckt;-1;-4;0
11/01/2019;15:00;412;189;223;Bedeckt;-1;-4;0
11/01/2019;16:00;450;202;248;Bedeckt;-1;-5;0
11/01/2019;17:00;438;199;239;Mäßiger Schneefall;-1;-5;0
11/01/2019;18:00;372;171;201;Mäßiger Schneefall;-1;-5;0
11/01/2019;19:00;301;150;151;Mäßiger Schneefall;-2;-5;0
11/01/2019;20:00;180;86;94;Bedeckt;-3;-5;0
11/01/2019;21:00;123;47;76;Bedeckt;-4;-6;0
11/01/2019;22:00;125;43;82;Bedeckt;-3;-5;0
11/01/2019;23:00;99;39;60;Starker Schneefall;-3;-5;1
12/01/2019;00:00;87;29;58;Starker Schneefall;-2;-4;1
12/01/2019;01:00;46;22;24;Starker Schneefall;-1;-4;1
12/01/2019;02:00;34;22;12;Starker Schneefall;0;-4;0
12/01/2019;03:00;17;9;8;Starker Schneefall;0;-3;0
12/01/2019;04:00;15;7;8;Starker Schneefall;0;-3;0
12/01/2019;05:00;26;21;5;Starker Schneefall;1;-3;0
12/01/2019;06:00;30;15;15;Starker Schneefall;1;-3;0
12/01/2019;07:00;40;25;15;Starker Schneefall;1;-3;0
12/01/2019;08:00;122;78;44;Bedeckt;1;-2;0
12/01/2019;09:00;157;103;54;Bedeckt;1;-2;0
12/01/2019;10:00;189;118;71;Bedeckt;2;-2;0
12/01/2019;11:00;245;132;113;Starker Schneefall;2;-2;0
12/01/2019;12:00;270;158;112;Starker Schneefall;2;-1;0
12/01/2019;13:00;262;129;133;Starker Schneefall;2;-1;0
12/01/2019;14:00;251;133;118;Bedeckt;3;-1;0
12/01/2019;15:00;251;106;145;Bedeckt;3;-1;0
12/01/2019;16:00;243;96;147;Bedeckt;3;-1;0
12/01/2019;17:00;255;125;130;Bedeckt;3;-1;0
12/01/2019;18:00;263;118;145;Bedeckt;3;-2;0
12/01/2019;19:00;191;100;91;Bedeckt;2;-2;0
12/01/2019;20:00;201;104;97;Bedeckt;1;-2;1
12/01/2019;21:00;113;66;47;Bedeckt;0;-2;1
12/01/2019;22:00;129;47;82;Bedeckt;1;-2;1
12/01/2019;23:00;125;43;82;Mäßiger bis starker Eisregen;1;-2;1
13/01/2019;00:00;110;30;80;Mäßiger bis starker Eisregen;2;-2;1
13/01/2019;01:00;59;20;39;Mäßiger bis starker Eisregen;2;-2;1
13/01/2019;02:00;47;15;32;Mäßiger bis starker Eisregen;3;-2;1
13/01/2019;03:00;28;8;20;Mäßiger bis starker Eisregen;3;-2;1
13/01/2019;04:00;28;16;12;Mäßiger bis starker Eisregen;3;-2;1
13/01/2019;05:00;15;5;10;Leichter Regenfall;3;-2;1
13/01/2019;06:00;7;6;1;Leichter Regenfall;3;-2;0
13/01/2019;07:00;18;9;9;Leichter Regenfall;3;-2;0
13/01/2019;08:00;47;27;20;Leichter Regenfall;4;-1;0
13/01/2019;09:00;79;48;31;Leichter Regenfall;4;-1;1
13/01/2019;10:00;79;41;38;Leichter Regenfall;4;-1;1
13/01/2019;11:00;92;46;46;Leichter Regenfall;4;-1;1
13/01/2019;12:00;79;53;26;Leichter Regenfall;4;-1;1
13/01/2019;13:00;95;49;46;Leichter Regenfall;4;-1;1
13/01/2019;14:00;110;61;49;Mäßiger Regenfall;4;-1;2
13/01/2019;15:00;87;57;30;Mäßiger Regenfall;5;-1;2
13/01/2019;16:00;151;75;76;Mäßiger Regenfall;4;0;2
13/01/2019;17:00;128;53;75;Mäßiger Regenfall;3;0;2
13/01/2019;18:00;138;65;73;Mäßiger Regenfall;3;1;2
13/01/2019;19:00;95;47;48;Mäßiger Regenfall;2;1;2
13/01/2019;20:00;99;49;50;Mäßiger Regenfall;1;1;1
13/01/2019;21:00;68;30;38;Mäßiger Regenfall;1;1;1
13/01/2019;22:00;59;27;32;Mäßiger Regenfall;2;1;1
13/01/2019;23:00;33;15;18;Leichter Regenfall;3;1;0
14/01/2019;00:00;11;4;7;Leichter Regenfall;4;1;0
14/01/2019;01:00;16;8;8;Leichter Regenfall;5;1;0
14/01/2019;02:00;6;4;2;Bedeckt;5;1;0
14/01/2019;03:00;1;1;0;Bedeckt;6;1;0
14/01/2019;04:00;4;3;1;Bedeckt;5;1;1
14/01/2019;05:00;27;17;10;Leichter Regenfall;5;1;1
14/01/2019;06:00;115;61;54;Leichter Regenfall;4;0;1
14/01/2019;07:00;688;411;277;Leichter Regenfall;4;0;1
14/01/2019;08:00;512;277;235;Leichter Regenfall;4;0;1
14/01/2019;09:00;478;307;171;Leichter Regenfall;4;0;0
14/01/2019;10:00;301;166;135;Leichter Regenfall;4;0;0
14/01/2019;11:00;380;180;200;Leichter Regenfall;5;0;0
14/01/2019;12:00;382;187;195;Leichter Regenfall;5;1;0
14/01/2019;13:00;551;225;326;Leichter Regenfall;5;0;0
14/01/2019;14:00;352;195;157;Bedeckt;5;0;0
14/01/2019;15:00;627;295;332;Bedeckt;5;0;0
14/01/2019;16:00;511;229;282;Bedeckt;4;0;0
14/01/2019;17:00;697;321;376;Leichter Regenfall;4;-1;1
14/01/2019;18:00;562;268;294;Leichter Regenfall;4;-1;1
14/01/2019;19:00;486;213;273;Leichter Regenfall;3;-1;1
14/01/2019;20:00;268;121;147;Leichte Eisregen;2;-1;0
14/01/2019;21:00;202;78;124;Leichte Eisregen;2;-2;0
14/01/2019;22:00;157;57;100;Leichte Eisregen;1;-2;0
14/01/2019;23:00;77;28;49;Mäßige bis starke Schneefälle;1;-2;0
15/01/2019;00:00;33;10;23;Mäßige bis starke Schneefälle;1;-2;0
15/01/2019;01:00;17;6;11;Mäßige bis starke Schneefälle;1;-2;0
15/01/2019;02:00;5;5;0;Leicht bewölkt;1;-2;0
15/01/2019;03:00;3;1;2;Leicht bewölkt;1;-2;0
15/01/2019;04:00;6;4;2;Leicht bewölkt;1;-2;0
15/01/2019;05:00;26;16;10;Mäßige bis starke Schneefälle;1;-2;0
15/01/2019;06:00;124;75;49;Mäßige bis starke Schneefälle;1;-2;0
15/01/2019;07:00;725;463;262;Mäßige bis starke Schneefälle;1;-2;0
15/01/2019;08:00;633;359;274;Leicht bewölkt;1;-1;0
15/01/2019;09:00;562;347;215;Leicht bewölkt;2;-1;0
15/01/2019;10:00;323;166;157;Leicht bewölkt;2;0;0
15/01/2019;11:00;473;245;228;Stellenweise leichter Schneefall;3;0;0
15/01/2019;12:00;448;176;272;Stellenweise leichter Schneefall;4;1;0
15/01/2019;13:00;610;242;368;Stellenweise leichter Schneefall;4;1;0
15/01/2019;14:00;426;209;217;Leicht bewölkt;4;1;0
15/01/2019;15:00;694;326;368;Leicht bewölkt;4;2;0
15/01/2019;16:00;638;275;363;Leicht bewölkt;4;1;0
15/01/2019;17:00;783;359;424;Leicht bewölkt;3;1;0
15/01/2019;18:00;653;295;358;Leicht bewölkt;2;1;0
15/01/2019;19:00;531;227;304;Leicht bewölkt;2;0;0
15/01/2019;20:00;318;141;177;Leicht bewölkt;2;0;0
15/01/2019;21:00;228;79;149;Leicht bewölkt;1;-1;0
15/01/2019;22:00;190;71;119;Leicht bewölkt;1;0;0
15/01/2019;23:00;85;31;54;Leicht bewölkt;1;0;0
16/01/2019;00:00;32;11;21;Leicht bewölkt;1;0;0
16/01/2019;01:00;22;9;13;Leicht bewölkt;1;0;0
16/01/2019;02:00;4;3;1;Leicht bewölkt;0;0;0
16/01/2019;03:00;4;3;1;Leicht bewölkt;0;0;0
16/01/2019;04:00;11;10;1;Leicht bewölkt;-1;-1;0
16/01/2019;05:00;33;20;13;Leicht bewölkt;-1;-1;0
16/01/2019;06:00;132;79;53;Leicht bewölkt;-2;-2;0
16/01/2019;07:00;839;522;317;Leicht bewölkt;-1;-1;0
16/01/2019;08:00;615;359;256;Leicht bewölkt;0;0;0
16/01/2019;09:00;515;319;196;Leicht bewölkt;1;1;0
16/01/2019;10:00;253;128;125;Leicht bewölkt;2;2;0
16/01/2019;11:00;381;175;206;Leicht bewölkt;3;3;0
16/01/2019;12:00;452;195;257;Leicht bewölkt;5;5;0
16/01/2019;13:00;680;311;369;Leicht bewölkt;5;5;0
16/01/2019;14:00;475;229;246;Leicht bewölkt;5;5;0
16/01/2019;15:00;601;264;337;Leicht bewölkt;6;5;0
16/01/2019;16:00;564;244;320;Leicht bewölkt;5;4;0
16/01/2019;17:00;795;346;449;Bewölkt;4;3;0
16/01/2019;18:00;597;253;344;Bewölkt;4;2;0
16/01/2019;19:00;503;190;313;Bewölkt;3;1;0
16/01/2019;20:00;385;182;203;Leicht bewölkt;3;0;0
16/01/2019;21:00;258;114;144;Leicht bewölkt;2;-1;0
16/01/2019;22:00;191;73;118;Leicht bewölkt;2;-1;0
16/01/2019;23:00;124;59;65;Leicht bewölkt;2;-1;0
17/01/2019;00:00;82;27;55;Leicht bewölkt;2;-2;0
17/01/2019;01:00;45;6;39;Leicht bewölkt;2;-1;0
17/01/2019;02:00;15;13;2;Leicht bewölkt;2;-1;0
17/01/2019;03:00;5;5;0;Leicht bewölkt;2;-1;0
17/01/2019;04:00;7;6;1;Leicht bewölkt;3;-1;0
17/01/2019;05:00;33;23;10;Leicht bewölkt;3;-1;0
17/01/2019;06:00;124;74;50;Leicht bewölkt;3;-1;0
17/01/2019;07:00;741;454;287;Leicht bewölkt;3;0;0
17/01/2019;08:00;531;303;228;Leicht bewölkt;3;1;0
17/01/2019;09:00;521;350;171;Leicht bewölkt;4;1;0
17/01/2019;10:00;277;160;117;Leicht bewölkt;4;2;0
17/01/2019;11:00;379;179;200;Leicht bewölkt;5;2;0
17/01/2019;12:00;372;144;228;Leicht bewölkt;6;3;0
17/01/2019;13:00;488;213;275;Leicht bewölkt;5;2;0
17/01/2019;14:00;334;160;174;Bewölkt;5;2;0
17/01/2019;15:00;638;282;356;Bewölkt;5;1;0
17/01/2019;16:00;558;273;285;Bewölkt;5;1;0
17/01/2019;17:00;694;312;382;Stellenweiser leichter Regenfall;4;0;0
17/01/2019;18:00;588;261;327;Stellenweiser leichter Regenfall;4;-1;0
17/01/2019;19:00;440;187;253;Stellenweiser leichter Regenfall;4;-1;0
17/01/2019;20:00;256;101;155;Leichter Eisregen;3;-1;0
17/01/2019;21:00;198;97;101;Leichter Eisregen;3;-2;0
17/01/2019;22:00;185;72;113;Leichter Eisregen;2;-2;0
17/01/2019;23:00;104;43;61;Mäßige bis starke Schneefälle;2;-2;0
