Datum;PLZ;Straße;Müllart;Abholregion
07.01.;78465;Abendbergweg;Biomuell;Konstanz
08.01.;78462;Ackertorweg;Biomuell;Konstanz
02.01.;78467;Adalbert-Schnatterer-Str.;Biomuell;Konstanz
07.01.;78465;Adenauerstr.;Biomuell;Konstanz
08.01.;78467;Adolf-Schmid-Str.;Biomuell;Konstanz
02.01.;78464;Aeschenweg;Biomuell;Konstanz
08.01.;78465;Albert-Riesterer-Weg;Biomuell;Konstanz
08.01.;78467;Alemannenstr.;Biomuell;Konstanz
08.01.;78462;Alfred-Wachtel-Str.;Biomuell;Konstanz
07.01.;78465;Allensbacher Str.;Biomuell;Konstanz
02.01.;78467;Allensteiner Str.;Biomuell;Konstanz
03.01.;78464;Allmannsdorfer Str.;Biomuell;Konstanz
02.01.;78464;Alpenstr.;Biomuell;Konstanz
02.01.;78464;Alpsteinweg;Biomuell;Konstanz
03.01.;78467;Alte Litzelstetter Str.;Biomuell;Konstanz
02.01.;78464;Alte Schiffstr.;Biomuell;Konstanz
07.01.;78465;Alte Torkelbergstr.;Biomuell;Konstanz
08.01.;78462;Alten Graben;Biomuell;Konstanz
03.01.;78467;Alter Bannweg;Biomuell;Konstanz
03.01.;78467;Alter Wall 1- 9 und 2- 8 (von Theodor-Heuss-Str. bis Mainaustraße);Biomuell;Konstanz
08.01.;78467;Alter Wall 11- 21 und 10- 20 (von Eisenbahnstr. bis Theodor-Heuss-Str.);Biomuell;Konstanz
02.01.;78464;Altmannstr.;Biomuell;Konstanz
03.01.;78467;Am alten Sägewerk;Biomuell;Konstanz
07.01.;78465;Am Berg;Biomuell;Konstanz
08.01.;78467;Am Briel;Biomuell;Konstanz
08.01.;78465;Am Brunnen;Biomuell;Konstanz
03.01.;78467;Am Ergatshauser Hof;Biomuell;Konstanz
08.01.;78465;Am Fliesshorn;Biomuell;Konstanz
07.01.;78465;Am Guckenbühl;Biomuell;Konstanz
03.01.;78467;Am Homberg;Biomuell;Konstanz
03.01.;78464;Am Pfeiferhölzle;Biomuell;Konstanz
07.01.;78465;Am Rathaus;Biomuell;Konstanz
08.01.;78467;Am Rheinufer;Biomuell;Konstanz
07.01.;78465;Am Rinzler;Biomuell;Konstanz
07.01.;78465;Am Schlehdorn;Biomuell;Konstanz
02.01.;78464;Am Schmerzenmösle;Biomuell;Konstanz
07.01.;78465;Am See;Biomuell;Konstanz
02.01.;78467;Am Seerhein;Biomuell;Konstanz
02.01.;78464;Am Tannenhof;Biomuell;Konstanz
08.01.;78465;Am Tobel;Biomuell;Konstanz
08.01.;78465;Am Ufer;Biomuell;Konstanz
02.01.;78464;Amalienstr.;Biomuell;Konstanz
07.01.;78465;Amselweg;Biomuell;Konstanz
03.01.;78464;An der Linde;Biomuell;Konstanz
02.01.;78464;An der Steig;Biomuell;Konstanz
03.01.;78464;Auf dem Salzberg;Biomuell;Konstanz
08.01.;78462;Auf der Insel;Biomuell;Konstanz
07.01.;78465;Augustaweg;Biomuell;Konstanz
02.01.;78467;August-Borsig-Str.;Biomuell;Konstanz
08.01.;78462;Augustinerplatz;Biomuell;Konstanz
02.01.;78467;August-Nikol.-Otto-Str.;Biomuell;Konstanz
08.01.;78467;Austr.;Biomuell;Konstanz
03.01.;78467;Bachbohlweg;Biomuell;Konstanz
02.01.;78464;Bachgasse;Biomuell;Konstanz
07.01.;78465;Bachwiesen;Biomuell;Konstanz
08.01.;78467;Badgasse;Biomuell;Konstanz
07.01.;78465;Bagnatosteig;Biomuell;Konstanz
08.01.;78462;Bahnhofplatz;Biomuell;Konstanz
08.01.;78462;Bahnhofstr.;Biomuell;Konstanz
03.01.;78467;Banater Str.;Biomuell;Konstanz
03.01.;78467;Bärlappweg;Biomuell;Konstanz
02.01.;78464;Beethovenstr.;Biomuell;Konstanz
07.01.;78465;Belchenwinkel;Biomuell;Konstanz
03.01.;78467;Benedikt-Bauer-Str.;Biomuell;Konstanz
08.01.;78467;Benediktinerplatz;Biomuell;Konstanz
03.01.;78467;Berchenstr.;Biomuell;Konstanz
08.01.;78464;Berggasse;Biomuell;Konstanz
03.01.;78467;Berliner Str.;Biomuell;Konstanz
08.01.;78467;Bettelgässchen;Biomuell;Konstanz
02.01.;78464;Bettengasse;Biomuell;Konstanz
08.01.;78465;Bettwiesen;Biomuell;Konstanz
03.01.;78464;Beyerlestr.;Biomuell;Konstanz
03.01.;78467;Bildwiese;Biomuell;Konstanz
03.01.;78464;Birkenweg;Biomuell;Konstanz
07.01.;78465;Birnaublick;Biomuell;Konstanz
02.01.;78464;Birnauer Str.;Biomuell;Konstanz
08.01.;78467;Bismarcksteig 3- 5 und 2- 12 a (von Wollmatinger Str. bis Steinstr.);Biomuell;Konstanz
08.01.;78467;Bismarcksteig 7- 21 und 14 bis 20 (von Wollmatinger Str. bis Kikuz);Biomuell;Konstanz
08.01.;78462;Blarerstr.;Biomuell;Konstanz
02.01.;78467;Bleichenweg;Biomuell;Konstanz
02.01.;78467;Bleicherstr.;Biomuell;Konstanz
07.01.;78465;Blumenstr.;Biomuell;Konstanz
08.01.;78462;Bodanplatz;Biomuell;Konstanz
02.01.;78467;Bodanrückweg;Biomuell;Konstanz
08.01.;78462;Bodanstr.;Biomuell;Konstanz
08.01.;78465;Bohlstr.;Biomuell;Konstanz
02.01.;78464;Brachsengang;Biomuell;Konstanz
02.01.;78467;Brandenburger Str.;Biomuell;Konstanz
02.01.;78464;Brandesstr.;Biomuell;Konstanz
08.01.;78462;Brauneggerstr. 1- 51 und 4- 68 (von Gottlieberstr. bis Rheingutstr.);Biomuell;Konstanz
08.01.;78462;Brauneggerstr. 55- 57 und 70- 78 (von Rheingutstr. bis Alfred-Wachtel-Str.);Biomuell;Konstanz
07.01.;78465;Breitenriedstr.;Biomuell;Konstanz
03.01.;78467;Breslauer Str.;Biomuell;Konstanz
08.01.;78465;Brotgasse;Biomuell;Konstanz
08.01.;78462;Brotlaube;Biomuell;Konstanz
08.01.;78462;Brückengasse;Biomuell;Konstanz
02.01.;78464;Brucknerstr.;Biomuell;Konstanz
08.01.;78467;Bruder-Klaus-Str.;Biomuell;Konstanz
08.01.;78462;Bruderturmgasse;Biomuell;Konstanz
08.01.;78462;Brüelstr.;Biomuell;Konstanz
03.01.;78464;Brugierstr.;Biomuell;Konstanz
07.01.;78465;Brühlstr.;Biomuell;Konstanz
07.01.;78465;Brunnenplatz;Biomuell;Konstanz
03.01.;78464;Buchenbergweg;Biomuell;Konstanz
07.01.;78465;Buchhaldenhof;Biomuell;Konstanz
03.01.;78464;Buchnerstr.;Biomuell;Konstanz
08.01.;78467;Bücklestr.;Biomuell;Konstanz
03.01.;78467;Buhlenweg;Biomuell;Konstanz
03.01.;78467;Bulachweg;Biomuell;Konstanz
02.01.;78464;Bündtgasse;Biomuell;Konstanz
07.01.;78465;Burghofweg;Biomuell;Konstanz
03.01.;78464;Burgunderweg;Biomuell;Konstanz
02.01.;78464;Büscheläcker;Biomuell;Konstanz
02.01.;78467;Byk-Gulden-Str.;Biomuell;Konstanz
02.01.;78467;Carl-Benz-Str.;Biomuell;Konstanz
02.01.;78467;Cherisy-Str.;Biomuell;Konstanz
02.01.;78464;Chr.-Dan.-Schenck-Str.;Biomuell;Konstanz
02.01.;78464;Clara-Schumann-Str.;Biomuell;Konstanz
02.01.;78467;Claude-Dornier-Str.;Biomuell;Konstanz
02.01.;78464;Conrad-Gröber-Str.;Biomuell;Konstanz
08.01.;78467;Conradin-Kreutzer-Str.;Biomuell;Konstanz
08.01.;78462;Dacherstr.;Biomuell;Konstanz
03.01.;78464;Damaschkeweg;Biomuell;Konstanz
08.01.;78462;Dammgasse;Biomuell;Konstanz
03.01.;78464;Danziger Str.;Biomuell;Konstanz
07.01.;78465;Derbyweg;Biomuell;Konstanz
02.01.;78467;De-Trey-Str.;Biomuell;Konstanz
03.01.;78467;Dettinger Str.;Biomuell;Konstanz
03.01.;78464;Deutschordenshalde;Biomuell;Konstanz
07.01.;78465;Dingelsdorfer Str.;Biomuell;Konstanz
08.01.;78462;Döbeleplatz;Biomuell;Konstanz
08.01.;78462;Döbelestr.;Biomuell;Konstanz
03.01.;78467;Dorfbachweg;Biomuell;Konstanz
07.01.;78465;Dorffriedhofsweg;Biomuell;Konstanz
07.01.;78465;Dorfwiesenweg;Biomuell;Konstanz
02.01.;78467;Drechslerweg;Biomuell;Konstanz
03.01.;78467;Dresdener Str.;Biomuell;Konstanz
02.01.;78467;Drumlinweg;Biomuell;Konstanz
08.01.;78467;Ebertplatz;Biomuell;Konstanz
03.01.;78467;Eduard-Mörike-Str.;Biomuell;Konstanz
03.01.;78464;Egelseeweg;Biomuell;Konstanz
02.01.;78464;Egger Str. 3- 19 und 2- 18 (in Allmannsdorf von Zur Allmannshöhe bis Ortsende);Biomuell;Konstanz
02.01.;78464;Egger Str. 43- 59 und 58- 60 (in Egg von Ortsanfang bis Mainaustraße);Biomuell;Konstanz
02.01.;78464;Egger Wiese;Biomuell;Konstanz
03.01.;78464;Eggerhaldestr.;Biomuell;Konstanz
08.01.;78462;Ehrlisgartenweg;Biomuell;Konstanz
03.01.;78464;Eibenweg;Biomuell;Konstanz
03.01.;78467;Eichbühlstr.;Biomuell;Konstanz
03.01.;78467;Eichendorffweg;Biomuell;Konstanz
02.01.;78464;Eichhornstr.;Biomuell;Konstanz
08.01.;78467;Eisenbahnstr.;Biomuell;Konstanz
03.01.;78467;Elberfeldstr.;Biomuell;Konstanz
03.01.;78464;Elblingweg;Biomuell;Konstanz
08.01.;78462;Emmishofer Str.;Biomuell;Konstanz
02.01.;78467;Engelsteig;Biomuell;Konstanz
03.01.;78467;Enzianweg;Biomuell;Konstanz
03.01.;78467;Erfurter Str.;Biomuell;Konstanz
02.01.;78467;Erich-Bloch-Weg;Biomuell;Konstanz
03.01.;78467;Erikaweg;Biomuell;Konstanz
03.01.;78467;Erlenweg;Biomuell;Konstanz
08.01.;78467;Ernst-Bärtschi-Weg;Biomuell;Konstanz
02.01.;78467;Ernst-Sachs-Str.;Biomuell;Konstanz
07.01.;78465;Espenstr.;Biomuell;Konstanz
08.01.;78465;Fährmann-Clemens-Str.;Biomuell;Konstanz
08.01.;78462;Falkengasse;Biomuell;Konstanz
02.01.;78467;Färberstr.;Biomuell;Konstanz
03.01.;78467;Farnweg;Biomuell;Konstanz
02.01.;78464;Fasanenweg;Biomuell;Konstanz
08.01.;78465;Faustenholzstr.;Biomuell;Konstanz
02.01.;78464;Felchengang;Biomuell;Konstanz
08.01.;78462;Feldstr.;Biomuell;Konstanz
02.01.;78467;Felix-Wankel-Straße;Biomuell;Konstanz
02.01.;78467;Feursteinstr.;Biomuell;Konstanz
08.01.;78462;Fischenzstr. 1- 7 und 2- 10 (östl. von Europastr. B33);Biomuell;Konstanz
08.01.;78462;Fischenzstr. 39- 77 und 16- 54 (westl.von Europastr. B33);Biomuell;Konstanz
07.01.;78465;Fischergasse;Biomuell;Konstanz
02.01.;78464;Fischerstr.;Biomuell;Konstanz
08.01.;78462;Fischmarkt;Biomuell;Konstanz
08.01.;78465;Fließhornstr.;Biomuell;Konstanz
02.01.;78464;Flurweg;Biomuell;Konstanz
02.01.;78464;Fohrenbühlweg;Biomuell;Konstanz
02.01.;78464;Forellengang;Biomuell;Konstanz
02.01.;78464;Franz-Liszt-Str.;Biomuell;Konstanz
07.01.;78465;Franz-Moser-Str.;Biomuell;Konstanz
03.01.;78467;Freibürgleweg;Biomuell;Konstanz
03.01.;78467;Friedhofweg;Biomuell;Konstanz
03.01.;78464;Friedrich Str. 7- 39 und 2- 30 (von Zähringer Platz bis Höhenweg);Biomuell;Konstanz
03.01.;78464;Friedrich Str. 41- 95 und 32- 58 (von Höhenweg bis Universitätsstr.);Biomuell;Konstanz
03.01.;78464;Friedrich-Hug-Str.;Biomuell;Konstanz
08.01.;78462;Friedrich-Pecht-Weg;Biomuell;Konstanz
02.01.;78467;Fritz-Arnold-Str.;Biomuell;Konstanz
03.01.;78467;Fürstenbergstr. 1- 87 und 2- 70 (von Riedstraße bis Siebenbürgenerweg);Biomuell;Konstanz
03.01.;78467;Fürstenbergstr. 89- 127 und 74 -126 (von Siebenbürgenerweg bis Wollmatinger Str.);Biomuell;Konstanz
08.01.;78462;Fürstengutweg;Biomuell;Konstanz
03.01.;78467;Gabelsbergerstr.;Biomuell;Konstanz
07.01.;78465;Gartenpfad;Biomuell;Konstanz
08.01.;78462;Gartenstraße 1- 11 und 6- 18 (von Brauneggerstr. bis Untere Laube);Biomuell;Konstanz
08.01.;78462;Gartenstraße 17- 33 und 18 b- 80  (östlich Europastr.);Biomuell;Konstanz
08.01.;78462;Gartenstr. Zufahrt Schänzle (westlich Europastr.);Biomuell;Konstanz
07.01.;78465;Gartenweg;Biomuell;Konstanz
03.01.;78467;Gaußweg;Biomuell;Konstanz
03.01.;78467;Georg-Büchner-Weg;Biomuell;Konstanz
08.01.;78467;Georg-Elser-Platz;Biomuell;Konstanz
03.01.;78464;Gerhart-Hauptmann-Weg;Biomuell;Konstanz
08.01.;78462;Gerichtsgasse;Biomuell;Konstanz
02.01.;78467;Gerstäckerweg;Biomuell;Konstanz
02.01.;78464;Glärnischstr.;Biomuell;Konstanz
07.01.;78465;Glockenbrunnenstr.;Biomuell;Konstanz
02.01.;78467;Gnadenseeweg;Biomuell;Konstanz
08.01.;78467;Goebelbeckerstr.;Biomuell;Konstanz
08.01.;78467;Goethestr.;Biomuell;Konstanz
08.01.;78467;Gottfried-Keller-Str.;Biomuell;Konstanz
03.01.;78464;Gottfried-von-Herder-Weg;Biomuell;Konstanz
02.01.;78467;Gottlieb-Daimler-Str.;Biomuell;Konstanz
08.01.;78462;Gottlieber Str. 1- 7 und 2- 4 (von Brauneggerstr. bis Lutherplatz);Biomuell;Konstanz
08.01.;78462;Gottlieber Str. 13- 45 und 8- 56 a (von Friedrich-Pecht-Weg bis Brauneggerstr.);Biomuell;Konstanz
08.01.;78467;Gottmannplatz;Biomuell;Konstanz
07.01.;78465;Grasweiherweg;Biomuell;Konstanz
08.01.;78462;Grießeggstr.;Biomuell;Konstanz
07.01.;78465;Großh.-Friedrich-Str.;Biomuell;Konstanz
03.01.;78464;Grünenbergweg;Biomuell;Konstanz
02.01.;78464;Grüngang;Biomuell;Konstanz
08.01.;78467;Gustav-Schwab-Str.;Biomuell;Konstanz
03.01.;78467;Gutenbergweg;Biomuell;Konstanz
08.01.;78462;Gütlestr. (über Gottlieber Str.);Biomuell;Konstanz
08.01.;78462;Gütlestr. (über Leinerstr.);Biomuell;Konstanz
08.01.;78462;Hafenstr.;Biomuell;Konstanz
03.01.;78467;Hafnerweg;Biomuell;Konstanz
07.01.;78465;Hagstaffel;Biomuell;Konstanz
03.01.;78467;Haidelmoosweg;Biomuell;Konstanz
07.01.;78465;Halde;Biomuell;Konstanz
08.01.;78464;Haldenweg;Biomuell;Konstanz
02.01.;78464;Haltnauer Weg;Biomuell;Konstanz
08.01.;78462;Handelisgartenweg;Biomuell;Konstanz
02.01.;78464;Händelstr.;Biomuell;Konstanz
07.01.;78465;Hangweg;Biomuell;Konstanz
08.01.;78462;Hans-Breinlinger-Str.;Biomuell;Konstanz
03.01.;78464;Hansegartenstr.;Biomuell;Konstanz
03.01.;78467;Hansjakobweg;Biomuell;Konstanz
08.01.;78465;Hans-Lobisser-Str.;Biomuell;Konstanz
08.01.;78467;Hans-Sauerbruch-Str.;Biomuell;Konstanz
08.01.;78467;Hans-Thoma-Str.;Biomuell;Konstanz
03.01.;78464;Harder Gasse;Biomuell;Konstanz
03.01.;78467;Hardtstr.;Biomuell;Konstanz
03.01.;78467;Haspelweg;Biomuell;Konstanz
02.01.;78464;Haydnstr.;Biomuell;Konstanz
02.01.;78464;Hebelstr.;Biomuell;Konstanz
02.01.;78464;Hechtgang;Biomuell;Konstanz
07.01.;78465;Hegaublick;Biomuell;Konstanz
08.01.;78467;Hegaustr.;Biomuell;Konstanz
07.01.;78465;Hegner Str.;Biomuell;Konstanz
03.01.;78467;Heinrich-Heine-Straße;Biomuell;Konstanz
07.01.;78465;Heinr.-v.-Tettingen-Str.;Biomuell;Konstanz
02.01.;78467;Helene u. Maria-Schieß-St;Biomuell;Konstanz
08.01.;78467;Helene-Merk-Str.;Biomuell;Konstanz
02.01.;78464;Hermann-Hesse-Weg;Biomuell;Konstanz
02.01.;78464;Hermann-von-Vicari-Str.;Biomuell;Konstanz
03.01.;78467;Herosestr.;Biomuell;Konstanz
07.01.;78465;Herrenberg;Biomuell;Konstanz
07.01.;78465;Hesselbergweg;Biomuell;Konstanz
08.01.;78465;Heugäßle;Biomuell;Konstanz
08.01.;78462;Hieronymusgasse;Biomuell;Konstanz
08.01.;78467;Hindenburgstr.;Biomuell;Konstanz
02.01.;78464;Hinterhauser Str.;Biomuell;Konstanz
08.01.;78462;Hofhalde;Biomuell;Konstanz
02.01.;78464;Hoheneggstr. 1- 17 und 2- 14 (von Staaderstr. bis Schiffstr.);Biomuell;Konstanz
02.01.;78464;Hoheneggstr. 19- 85 und 20- 104 (von Schiffstr. bis Egg);Biomuell;Konstanz
08.01.;78462;Hohenhausgasse;Biomuell;Konstanz
08.01.;78465;Höhenrückenweg;Biomuell;Konstanz
03.01.;78464;Höhenweg;Biomuell;Konstanz
07.01.;78465;Holdersteig;Biomuell;Konstanz
07.01.;78465;Holländerstr.;Biomuell;Konstanz
02.01.;78467;Horchstr.;Biomuell;Konstanz
03.01.;78467;Höriblick;Biomuell;Konstanz
08.01.;78465;Hornwiesenstr.;Biomuell;Konstanz
08.01.;78462;Hüetlinstr.;Biomuell;Konstanz
08.01.;78462;Hussenstr.;Biomuell;Konstanz
07.01.;78465;Im Apfelgarten;Biomuell;Konstanz
07.01.;78465;Im Baumgarten;Biomuell;Konstanz
07.01.;78465;Im Grün;Biomuell;Konstanz
07.01.;78465;Im Grund;Biomuell;Konstanz
03.01.;78464;Im Klostergut;Biomuell;Konstanz
07.01.;78465;Im Langenberg;Biomuell;Konstanz
03.01.;78467;Im Langert;Biomuell;Konstanz
07.01.;78465;Im Loh;Biomuell;Konstanz
03.01.;78464;Im Neugut;Biomuell;Konstanz
07.01.;78465;Im Tiergarten;Biomuell;Konstanz
03.01.;78464;Im Weinberg;Biomuell;Konstanz
07.01.;78465;In den Dorfäckern;Biomuell;Konstanz
07.01.;78465;In den Reben;Biomuell;Konstanz
08.01.;78467;In der Gebhardsösch;Biomuell;Konstanz
08.01.;78462;Inselgasse;Biomuell;Konstanz
03.01.;78467;Irisweg;Biomuell;Konstanz
03.01.;78464;Jacob-Burckhardt-Str.;Biomuell;Konstanz
08.01.;78467;Jahnstr.;Biomuell;Konstanz
02.01.;78467;Jakob-Stadler-Platz;Biomuell;Konstanz
02.01.;78464;Jakobstr. 1- 49 und 8- 56 (von Staader Str. bis Hermann-von-Vicari-Str.);Biomuell;Konstanz
02.01.;78464;Jakobstr. 79- 99 und 58- 76 (von Hermann-von-Vicari-Str. bis Eichhornstr.);Biomuell;Konstanz
02.01.;78464;J.-Sebastian-Bach-Str.;Biomuell;Konstanz
02.01.;78464;J.-A.-Feuchtmayer-Str.;Biomuell;Konstanz
02.01.;78467;Joseph-Belli-Weg;Biomuell;Konstanz
02.01.;78464;Jungerhalde;Biomuell;Konstanz
02.01.;78464;Kamorstr.;Biomuell;Konstanz
08.01.;78462;Kanzleistr.;Biomuell;Konstanz
02.01.;78464;Kapellenweg;Biomuell;Konstanz
07.01.;78465;Kapitän-Romer-Str.;Biomuell;Konstanz
08.01.;78462;Kappelersgutweg;Biomuell;Konstanz
08.01.;78467;Karl-Einhart-Str.;Biomuell;Konstanz
08.01.;78467;Karl-Großhans-Weg;Biomuell;Konstanz
03.01.;78467;Karlsruher Str.;Biomuell;Konstanz
03.01.;78464;Käthe-Kollwitz-Weg;Biomuell;Konstanz
08.01.;78462;Katzgasse;Biomuell;Konstanz
07.01.;78465;Kelhofstr.;Biomuell;Konstanz
03.01.;78467;Kennerweg;Biomuell;Konstanz
03.01.;78467;Keplerweg;Biomuell;Konstanz
02.01.;78467;Kindlebildstr.;Biomuell;Konstanz
02.01.;78464;Kirchgasse;Biomuell;Konstanz
07.01.;78465;Kirchplatz;Biomuell;Konstanz
08.01.;78467;Klingenbergstr.;Biomuell;Konstanz
08.01.;78462;Klostergasse;Biomuell;Konstanz
03.01.;78467;Kneippweg;Biomuell;Konstanz
02.01.;78464;Koberleweg;Biomuell;Konstanz
07.01.;78465;Komturweg;Biomuell;Konstanz
03.01.;78464;Königsbaustr.;Biomuell;Konstanz
03.01.;78467;Königsberger Str.;Biomuell;Konstanz
08.01.;78462;Konradigasse;Biomuell;Konstanz
03.01.;78464;Konrad-Witz-Str.;Biomuell;Konstanz
02.01.;78467;Konrad-Zuse-Str.;Biomuell;Konstanz
07.01.;78465;Konstanzer Str.;Biomuell;Konstanz
07.01.;78465;Konstanzer Weg;Biomuell;Konstanz
08.01.;78462;Konzilstr.;Biomuell;Konstanz
03.01.;78467;Kopernikusweg;Biomuell;Konstanz
07.01.;78465;Kornblumenweg;Biomuell;Konstanz
07.01.;78465;Kreuzäckerweg;Biomuell;Konstanz
08.01.;78462;Kreuzlinger Str.;Biomuell;Konstanz
07.01.;78465;Kronbohlstr.;Biomuell;Konstanz
07.01.;78465;Kuckucksweg;Biomuell;Konstanz
03.01.;78467;Küferweg;Biomuell;Konstanz
03.01.;78464;Kuhmoosweg;Biomuell;Konstanz
08.01.;78462;Labhardsweg;Biomuell;Konstanz
07.01.;78465;Langenrainer Str.;Biomuell;Konstanz
03.01.;78467;Längerbohlstr.;Biomuell;Konstanz
03.01.;78464;Langhardtstr.;Biomuell;Konstanz
08.01.;78462;Leinerstr.;Biomuell;Konstanz
03.01.;78467;Leipziger Str.;Biomuell;Konstanz
08.01.;78467;Leopold-Spiegel-Weg;Biomuell;Konstanz
07.01.;78465;Lerchenweg;Biomuell;Konstanz
08.01.;78467;Lessingstr.;Biomuell;Konstanz
02.01.;78467;Lilienthalstr.;Biomuell;Konstanz
02.01.;78464;Lindauer Str.;Biomuell;Konstanz
02.01.;78467;Line-Eid-Str.;Biomuell;Konstanz
07.01.;78465;Linzgaublick;Biomuell;Konstanz
03.01.;78467;Litzelstetter Str.;Biomuell;Konstanz
02.01.;78467;Lohnerhofstr.;Biomuell;Konstanz
08.01.;78462;Löhrystr. ;Biomuell;Konstanz
02.01.;78464;Lorettosteig;Biomuell;Konstanz
08.01.;78467;Lortzingstr.;Biomuell;Konstanz
03.01.;78467;Löwengasse;Biomuell;Konstanz
02.01.;78467;Löwernweg;Biomuell;Konstanz
03.01.;78464;Luisenstr.;Biomuell;Konstanz
08.01.;78462;Lutherplatz;Biomuell;Konstanz
02.01.;78464;Luziengang;Biomuell;Konstanz
07.01.;78465;Luzzilonweg;Biomuell;Konstanz
02.01.;78467;Macairestr.;Biomuell;Konstanz
03.01.;78467;Magdeburger Str.;Biomuell;Konstanz
02.01.;78464;Mainaustr.  2, 4 und 6;Biomuell;Konstanz
02.01.;78464;Mainaustr. 5- 61 und 8- 52 (von Glärnischstr. bis Zur Friedrichshöhe);Biomuell;Konstanz
02.01.;78464;Mainaustr. 63- 79 und 66- 78 (von Zur Friedrichshöhe bis Herman-von-Vicari-Str.);Biomuell;Konstanz
02.01.;78464;Mainaustr. 139- 155 und 90- 158 (von Hermann-von-Vicari-Str. bis Schiffstr.);Biomuell;Konstanz
02.01.;78464;Mainaustr. 157- 181 und 160- 198 c (von Schiffstr. bis Egg);Biomuell;Konstanz
02.01.;78464;Mainaustr. 185- 209 k und 202- 236 (in Egg);Biomuell;Konstanz
07.01.;78465;Mainauweg;Biomuell;Konstanz
08.01.;78462;Mangoldstr.;Biomuell;Konstanz
02.01.;78467;Mannheimer Str.;Biomuell;Konstanz
08.01.;78462;Maria-Ellenrieder-Str.;Biomuell;Konstanz
02.01.;78464;Maria-Hilf-Platz;Biomuell;Konstanz
08.01.;78462;Marienhausgasse;Biomuell;Konstanz
07.01.;78465;Marienweg;Biomuell;Konstanz
08.01.;78467;Markgrafenstr.;Biomuell;Konstanz
08.01.;78462;Marktstätte;Biomuell;Konstanz
08.01.;78462;Marmorstr.;Biomuell;Konstanz
07.01.;78465;Martin-Schleyer-Str.;Biomuell;Konstanz
08.01.;78467;Martin-Venedey-Str.;Biomuell;Konstanz
02.01.;78467;Max-Josef-Metzger-Weg;Biomuell;Konstanz
02.01.;78467;Max-Stromeyer-Str. 1- 29 und 2- 130 (von Oberlohnstr. bis Gottmannplatz);Biomuell;Konstanz
02.01.;78467;Max-Stromeyer-Str. 31- 59 und 146- 180 (von Riedstr. bis Oberlohnstr.);Biomuell;Konstanz
02.01.;78467;Maybachstr.;Biomuell;Konstanz
08.01.;78462;Mayenfischstr.;Biomuell;Konstanz
02.01.;78464;Meersburger Str.;Biomuell;Konstanz
07.01.;78465;Meisenweg;Biomuell;Konstanz
08.01.;78467;Menzelstr.;Biomuell;Konstanz
03.01.;78467;Mergenthalerweg;Biomuell;Konstanz
08.01.;78465;Metzgersbrunnweg;Biomuell;Konstanz
07.01.;78465;Milanweg;Biomuell;Konstanz
07.01.;78465;Mittelsberg;Biomuell;Konstanz
07.01.;78465;Mittelstr.;Biomuell;Konstanz
03.01.;78467;Mittelweg;Biomuell;Konstanz
08.01.;78467;Moltkestr.;Biomuell;Konstanz
03.01.;78467;Mondrauteweg;Biomuell;Konstanz
03.01.;78467;Moorkieferweg;Biomuell;Konstanz
03.01.;78464;Moorweg;Biomuell;Konstanz
08.01.;78467;Moosstr.;Biomuell;Konstanz
07.01.;78465;Moosweg;Biomuell;Konstanz
08.01.;78462;Morinckweg;Biomuell;Konstanz
08.01.;78462;Mosbruggerstr.;Biomuell;Konstanz
02.01.;78464;Möwenring;Biomuell;Konstanz
07.01.;78465;Möwenweg;Biomuell;Konstanz
02.01.;78464;Mozartstr.;Biomuell;Konstanz
08.01.;78465;Mühlbachweg;Biomuell;Konstanz
03.01.;78467;Mühlenweg (außer Hausnr. 44 bis 48);Biomuell;Konstanz
02.01.;78467;Mühlenweg (nur Hausnr. 44 bis 48);Biomuell;Konstanz
08.01.;78462;Münsterplatz;Biomuell;Konstanz
08.01.;78462;Muntpratstr.;Biomuell;Konstanz
08.01.;78462;Münzgasse;Biomuell;Konstanz
02.01.;78467;Näherinnenstr.;Biomuell;Konstanz
02.01.;78464;Nestgasse;Biomuell;Konstanz
08.01.;78462;Neugasse;Biomuell;Konstanz
02.01.;78464;Neuhauser Str.;Biomuell;Konstanz
07.01.;78465;Neuhof;Biomuell;Konstanz
08.01.;78462;Niederburggasse;Biomuell;Konstanz
08.01.;78465;Nikolausweg;Biomuell;Konstanz
07.01.;78465;Oberdorfstr.;Biomuell;Konstanz
08.01.;78462;Obere Augustinergasse;Biomuell;Konstanz
07.01.;78465;Obere Bündt;Biomuell;Konstanz
08.01.;78462;Obere Laube;Biomuell;Konstanz
03.01.;78467;Oberlinweg;Biomuell;Konstanz
02.01.;78467;Oberlohnstr.;Biomuell;Konstanz
08.01.;78462;Obermarkt;Biomuell;Konstanz
02.01.;78464;Oberstegle;Biomuell;Konstanz
08.01.;78465;Obstgarten;Biomuell;Konstanz
02.01.;78467;Opelstr.;Biomuell;Konstanz
08.01.;78467;Otto-Adam-Str.;Biomuell;Konstanz
08.01.;78462;Otto-Raggenbass-Str.;Biomuell;Konstanz
07.01.;78465;Pappelweg;Biomuell;Konstanz
08.01.;78462;Paradiesstr.;Biomuell;Konstanz
03.01.;78467;Paul-Gerhardt-Weg;Biomuell;Konstanz
08.01.;78467;Pauline-Gutjahr-Weg;Biomuell;Konstanz
08.01.;78467;Pestalozzistr.;Biomuell;Konstanz
02.01.;78464;Peter-Thumb-Str.;Biomuell;Konstanz
